epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,141.878,2.05156,3.80726,2.17133,0.0322,0.75699,0.1143,0.04994,1.64074,3.61697,1.98844,0.0001875,0.0001875,0.0001875
2,284.387,1.66149,3.51322,1.85652,0.03829,0.85339,0.18745,0.08039,1.43401,3.47591,1.74738,0.000366152,0.000366152,0.000366152
3,431.526,1.50993,3.1534,1.72156,0.32842,0.1779,0.18352,0.0835,1.3267,2.9637,1.70244,0.00052946,0.00052946,0.00052946
4,580.921,1.47656,2.93604,1.75062,0.15078,0.30596,0.1625,0.07046,1.6625,2.95688,1.97752,0.00055075,0.00055075,0.00055075
5,727.681,1.39521,2.75948,1.69706,0.22542,0.48434,0.2771,0.11646,1.48275,3.1274,1.80791,0.000526,0.000526,0.000526
6,875.435,1.36244,2.65706,1.68484,0.35468,0.514,0.39578,0.19636,1.21079,2.53676,1.56246,0.00050125,0.00050125,0.00050125
7,1020.55,1.33189,2.59007,1.66329,0.28744,0.54485,0.32066,0.1777,1.03611,2.43168,1.42052,0.0004765,0.0004765,0.0004765
8,1161.74,1.26101,2.50477,1.60483,0.42845,0.55086,0.48881,0.25069,1.17544,2.32169,1.53252,0.00045175,0.00045175,0.00045175
9,1305.17,1.26404,2.45851,1.57827,0.38523,0.48964,0.37966,0.20277,1.11319,2.35576,1.48933,0.000427,0.000427,0.000427
10,1445.47,1.2021,2.39504,1.54375,0.45486,0.53185,0.48601,0.26908,1.03227,2.23758,1.40854,0.00040225,0.00040225,0.00040225
11,1586.22,1.16745,2.34984,1.52283,0.55498,0.58138,0.56494,0.34345,0.91445,2.03492,1.3114,0.0003775,0.0003775,0.0003775
12,1728.2,1.1894,2.36325,1.52681,0.42548,0.49696,0.4732,0.29124,0.94943,2.14449,1.34468,0.00035275,0.00035275,0.00035275
13,1868.89,1.13947,2.27836,1.48997,0.49503,0.63495,0.59489,0.3681,0.93833,2.04068,1.33777,0.000328,0.000328,0.000328
14,2014.98,1.14642,2.25307,1.48729,0.52649,0.55952,0.56571,0.36413,0.88292,2.02548,1.29001,0.00030325,0.00030325,0.00030325
15,2155.11,1.12023,2.23034,1.46169,0.59303,0.64148,0.67653,0.4202,0.86444,1.88362,1.25482,0.0002785,0.0002785,0.0002785
16,2293.4,1.08236,2.24673,1.5476,0.55154,0.59749,0.62733,0.36585,1.00884,1.99667,1.35424,0.00025375,0.00025375,0.00025375
17,2432.59,1.04668,2.07802,1.53645,0.51959,0.63202,0.60182,0.40115,0.87125,1.86539,1.28382,0.000229,0.000229,0.000229
18,2570.77,1.03079,1.98162,1.5034,0.53187,0.66378,0.62428,0.42784,0.82733,1.80987,1.24865,0.00020425,0.00020425,0.00020425
19,2708.67,1.00915,1.93,1.48464,0.64716,0.67323,0.71295,0.49095,0.7867,1.72948,1.19697,0.0001795,0.0001795,0.0001795
20,2851.24,0.96887,1.87272,1.44821,0.63094,0.6867,0.66375,0.47136,0.75518,1.70602,1.18251,0.00015475,0.00015475,0.00015475
21,2993.96,0.96676,1.82055,1.45346,0.68521,0.74535,0.75038,0.5352,0.75558,1.63984,1.1849,0.00013,0.00013,0.00013
22,3133.37,0.93557,1.79021,1.42404,0.64189,0.73756,0.7138,0.50725,0.75014,1.63701,1.18043,0.00010525,0.00010525,0.00010525
23,3270.44,0.9154,1.74857,1.40602,0.70245,0.74402,0.75543,0.55026,0.70822,1.61217,1.15038,8.05e-05,8.05e-05,8.05e-05
24,3409.64,0.89554,1.7188,1.38223,0.7074,0.74399,0.77665,0.57545,0.71735,1.55662,1.15525,5.575e-05,5.575e-05,5.575e-05
25,3549.93,0.89212,1.7157,1.38176,0.70005,0.73891,0.76711,0.57554,0.68553,1.54211,1.13633,3.1e-05,3.1e-05,3.1e-05
